,content,thumbsUpCount,score
42,아파트 실거래가 앱 도움 많이 받고 있습니다 학군마다 학교마다 성취도를 비교할 수 있어 진로지도에 큰 도움이 됩니다 그러나 제가 거주하고 있는 파주 운정지역은 성취도 비교가 제공되지 않아서 곤란합니다. 꼭 운정신도시도 정보가 제공되었으면 좋겠습니다.,69,5
47,폰으로 잘 사용하고 있습니다. 그런데 Lenovo p11 테블릿으로 서브용으로 사용하려고 하는데 버전이 맞지 않는다고 합니다. 테블릿은 최신 업데이트 했는데 왜 호환이 안되는 것일까요?,53,5
41,재개발 재건축과 경매 자료까지 들어있어서 아실앱 유용합니다. 아직 익숙치 않아서 계속 보고 있긴하지만 익숙해지면 더 잘 사용할 것 같아요.,37,5
54,공급물량이 안맞네요 포항같은 경우에 2023년과 2024년에 입주가 많은데 한개도 표시 안되고..... 아실 데이터에 신뢰성을 잃어버렸습니다,17,1
52,너무너무 잘 사용하고 있습니다 분양권은 층만 표시 된던데 동은 표시 안되나요?,15,5
58,국토부 앱에 비해서 편리한 점이 엿보이나 일부 단지에서 최근 실거래가가 반영되지 않는 문제가 있음. 하지만 거래 히스토리는 단연 최고임.,15,4
62,아실의 실거래 히스토리기능 짱입니다 실거주매입인지 투자자매입인지 확인하는데 아주유용해요 실거래가 그래프랑 테이블(전고점 확인)로 보는거도 넘 편하구요♡♡♡,15,5
87,이렇게 다되는 앱이라니..정말 앱 보다보면 시간 가는지 모를정도로 디테일하게 잘되어있네요.무료로 쓰기 미안할정도에요^^,13,5
63,늘 편리하게 사용하고 있으며 기능들도 추가되어 너무 좋아요~^^,13,5
27,폰을 변경하고 스마트스위치나 구글 백업으로 세팅해놓은 설정 이동이 안 되네요. 구글드라이브 등을 이용해 설정 백업이 되었으면 합니다. 관심단지 알림 같은 것들이요. 혹시 제가 사용법을 모르는 거라면 가이드 한 번만 부탁드립니다.,11,4
