,content,thumbsUpCount,score
65,엄청 자주 사용하는 앱이에요. 그런데 새로운 이야기를 누를때 원래는 바로 그 글로 이동했는데 이번 업데이트 된 이후로 새로운이야기를 눌러도 그냥 맨 위에서 멈춰있네요... 왜그렇게 바뀐걸까요?? 너무 불편해요 사실 부동산 정보야 똑같아서 더이상 볼필요없어 글보는게 중요한건데ㅠㅠ,67,4
49,이야기 게시물 3개밖에 안보이고 더보기 눌러도 페이지네이션이 안됨.. 이런 중요한 메뉴의 기본적인 버그가 안고쳐지는건 문제가 있는듯. 거기에 이야기 게시물에 실거주자 여부 표시가 없어서 그냥 지어낸 얘긴지 실제 경험인지 알 수가 없음. 전월세 검색은 하나로 합쳐져있는데 금액 필터는 하나뿐이라 월세는 검색도 못함. 이럴거면 왜있는건지.. 이런 버그나 기획 오류같은 자잘자잘한 문제점들이 산재되있어 전체 서비스 완성도에 문제가 있음.,64,2
27,영어도 지원안하고 사용자도 한국인이 대부분인데 영어 정말 드럽게 좋아해. 아이콘 밑에 호갱노노를 업데이트후에 영어로 바꿨다가 욕 처먹고 다시 돌려놓더니만 지금 지울려고 앱목록 보니 예전에는 한글로 호갱노노로 돼있던걸 영어로 바꿔놨네. 그건 사람들이 잘 안보니까 그냥 영어로 그냥 둔 모양인데 그렇게 악착같이 영어쓰고 싶어하는 이유가 뭐냐? 앱안에서 영어를 지원하면 또 말을 안 해. 왜 이리 값싸보이지?,42,1
30,일단 타입별이 아니라 평형별로 세대수 보여주는게 정말 좋음 근데 평형별 세대수 틀린아파트들 간혹 있음 예로 이촌 한강자이 원래 656세대인데 평형선택하는데서 각 평형들 세대수 더해보면 1000세대 넘게나옴 ㅋㅋㅋㅋㅋㅋ,28,4
20,"이 리뷰를 모니터링 하시는 담당자 분이 계실까요...? 오래 전부터 알고 이용해 왔던 좋은 앱인데요, 세상이 바뀌었음에도 아직 중요한 부분이 개선되지 않아 안타깝습니다. 예를 들어 특정 지역 아파트에 관심있을 경우 그 명칭으로 검색하는 방식만 제공하고 있는 것 같은데요. 위치에 따라 방향이 변경되거나 현 위치 상에서 지도를 회전할 수 있는 기능이 꼭 필요합니다. 실제 아파트 건물에 써 있는 명칭과 호갱노노(공식 명칭) 상의 명칭이 달라 해당 건물을 찾을 수 없는 경우가 생각보다 매우 많습니다. 차를 타거나 걸어서 이동할 경우가 많은데 이 부분이 적용되지 않아 못찾는 상황이 너무 많네요. 모빌리티 시대에 이 부분이 왜 아직 적용되지 않는 건가요? 내부 기획/개발팀은 이러한 단점을 이미 알고 계실 텐데, 현재 구현한 플랫폼 기술 상에 한계가 있는 걸까요? 좋은 데이터를 제공하면서 반쪽자리 서비스가 되니 아쉬워 긴 리뷰를 남깁니다.",25,3
64,호갱노노 아파트 이야기 듣고 매매하거나 전세 들어가지마세요. 기울어진 정보만 습득합니다. 아파트에 대해 허위정보와 장점만 써야 함 이에 대해 지적 또는 단점에 대해 이야기하면 욕설이 날라오고 호갱노노에서 재제를 가함 댓글로 반격하면 단점 글 쓴 사람만 재제를 가함 당장 어플 삭제하고 국민신문고에 집값 담합으로 민원 넣으세요.,21,1
31,편파운영함 어플 안깔고 1점드림,18,1
96,아파트 이야기에 리모델링 이야기 언급하면 어떤단지는 전혀 문제 없이 글 게시되어 있고 어떤단지는 광탈 삭제되는데 기준이 뭔가요? 운영측에서 어떤기준으로 모니터링 및 글 삭제하는지 명확한 기준을 밝혀주십시오,13,1
67,오래 앱을 이용해보니 집값떨어질까봐 칭찬만 줄줄 늘어놓고 솔직한 단점을 얘기하면 신고먹고 글이 삭제되는 것 같은데 이런식이면 결국 나중에 신뢰를 잃게 될거에요. 대부분 집을 매매하는건 신중하고 큰 결정인데 이에 참고할만한 정보에 거짓이 가득하다면 운영진도 결국 잘못된 결정에 동참하는 셈 아닐까요? 멀리보길 바랍니다.,9,2
39,아파트의 실제장단점을 보고 결정하고싶어서 가입했는데 이야기에 조금이라도 부정적인 댓글쓰이면 집값 떨어질까봐 벌벌떨면서 입막음하는 사람이 대다수라 눈쌀찌푸려져요 집값 중요하죠 근데 사실을 말하는사람들까지도 입막음하고 좋은말만 쓰게하니까 진짜 정보를 얻기가 어려운편. 집값은 오르는곳은 알아서 오르고 고평가된곳은 떨어지기마련인데 진짜 추함,8,1
